Sr.NO.,GNB CPU Count,CPU Load(%),CPU Power(W)
1,16,13.56,44.49
2,16,11.91,44.41
3,16,11.86,43.94
4,16,12.27,43.93
5,16,12.47,44.39
6,16,11.93,43.92
7,16,11.88,44.14
8,16,11.86,43.66
9,16,12.51,44.14
10,16,12.05,42.8
11,16,11.97,43.9
12,16,12.97,44.38
13,16,12.57,43.99
14,16,11.95,44.06
15,16,12.25,44
16,16,11.83,38.91
17,16,12.76,48.3
18,16,12.49,44.32
19,16,13.31,44.55
20,16,13.79,44.62
21,16,13.31,44.55
22,16,12.45,44.11
23,16,12.88,48.13
24,16,12.7,47.98
25,16,13.14,48.19
26,16,15.02,45.04
27,16,14.05,43.99
28,16,13.54,44.64
29,16,14.05,46.13
30,16,11.8,43.93
31,16,11.99,43.95
32,16,13.54,44.64
33,16,13.85,45.14
34,16,13.15,48.54
35,16,12.5,48.49
